beneficiario_id,nombre,edad,genero,area,programa,fecha,satisfaccion,tiempo_atencion_min,resolucion_exitosa,comentarios
1001,María González,35,F,Norte,Alimentación,2024-01-05,9,15,SI,Excelente servicio
1002,Juan Pérez,42,M,Sur,Salud,2024-01-05,7,45,SI,Mucha espera
1003,Ana López,28,F,Este,Educación,2024-01-06,8,20,SI,
1004,Carlos Ramírez,55,M,Oeste,Vivienda,2024-01-06,6,60,NO,Proceso muy lento
1005,Laura Martínez,31,F,Norte,Empleo,2024-01-07,9,10,SI,Muy rápido
1006,Pedro Sánchez,48,M,Sur,Alimentación,2024-01-08,8,25,SI,
1007,Rosa Torres,39,F,Centro,Salud,2024-01-09,7,35,SI,Buena atención
1008,Miguel Ángel,29,M,Norte,Educación,2024-01-10,10,12,SI,Perfecto
1009,Carmen Silva,62,F,Este,Vivienda,2024-01-11,5,80,NO,No resolvieron mi caso
1010,Jorge Ruiz,45,M,Oeste,Alimentación,2024-01-12,8,18,SI,
1011,Patricia Cruz,33,F,Sur,Salud,2024-01-13,9,22,SI,Excelente doctora
1012,Roberto Díaz,51,M,Norte,Empleo,2024-01-14,7,40,SI,
1013,Sofía Morales,27,F,Centro,Educación,2024-01-15,8,15,SI,
1014,Francisco Ortiz,58,M,Este,Alimentación,2024-01-16,6,50,SI,Despensa incompleta
1015,Lucía Vargas,36,F,Oeste,Salud,2024-01-17,9,20,SI,
1016,Antonio Herrera,44,M,Norte,Vivienda,2024-01-18,7,55,NO,Falta seguimiento
1017,Isabel Jiménez,30,F,Sur,Empleo,2024-01-19,10,8,SI,Conseguí trabajo
1018,Manuel Castro,49,M,Este,Alimentación,2024-01-20,8,23,SI,
1019,Teresa Romero,41,F,Centro,Salud,2024-01-21,9,17,SI,
1020,Alejandro Gil,53,M,Oeste,Educación,2024-01-22,6,65,NO,Curso cancelado
1021,Diana Méndez,32,F,Norte,Alimentación,2024-01-23,9,14,SI,
1022,Raúl Navarro,47,M,Sur,Salud,2024-01-24,7,38,SI,
1023,Gabriela Rojas,29,F,Este,Empleo,2024-01-25,8,26,SI,
1024,Héctor Flores,56,M,Centro,Vivienda,2024-01-26,5,75,NO,Muchos requisitos
1025,Verónica Reyes,34,F,Oeste,Alimentación,2024-01-27,9,16,SI,
1026,Sergio Guzmán,43,M,Norte,Salud,2024-01-28,8,30,SI,
1027,Adriana Mendoza,38,F,Sur,Educación,2024-01-29,7,42,SI,
1028,Fernando Ramos,52,M,Este,Alimentación,2024-01-30,8,19,SI,
1029,Beatriz Pacheco,31,F,Centro,Empleo,2024-01-31,10,11,SI,Muy buen apoyo
1030,Guillermo Vega,46,M,Oeste,Salud,2024-02-01,7,36,SI,
1031,Claudia Ibarra,40,F,Norte,Vivienda,2024-02-02,6,58,NO,
1032,Arturo Delgado,50,M,Sur,Alimentación,2024-02-03,9,21,SI,
1033,Mónica Aguilar,28,F,Este,Salud,2024-02-04,8,24,SI,
1034,Ricardo Medina,54,M,Centro,Educación,2024-02-05,7,33,SI,
1035,Sandra Cortés,37,F,Oeste,Empleo,2024-02-06,9,13,SI,
1036,Eduardo Paredes,41,M,Norte,Alimentación,2024-02-07,8,27,SI,
1037,Mariana Santos,35,F,Sur,Salud,2024-02-08,7,41,SI,
1038,Javier Mora,48,M,Este,Vivienda,2024-02-09,6,62,NO,
1039,Daniela Peña,30,F,Centro,Alimentación,2024-02-10,9,17,SI,
1040,Pablo Chávez,45,M,Oeste,Salud,2024-02-11,8,29,SI,
1041,Cristina Montes,33,F,Norte,Educación,2024-02-12,9,19,SI,
1042,Óscar Luna,57,M,Sur,Empleo,2024-02-13,7,44,SI,
1043,Elena Campos,39,F,Este,Alimentación,2024-02-14,8,22,SI,
1044,Rubén Valdés,51,M,Centro,Salud,2024-02-15,6,53,NO,
1045,Silvia Núñez,32,F,Oeste,Vivienda,2024-02-16,9,18,SI,
1046,Ignacio Soto,46,M,Norte,Alimentación,2024-02-17,8,25,SI,
1047,Norma Guerrero,42,F,Sur,Salud,2024-02-18,7,37,SI,
1048,Rodrigo Salazar,55,M,Este,Educación,2024-02-19,8,31,SI,
1049,Lorena Cárdenas,29,F,Centro,Empleo,2024-02-20,10,9,SI,
1050,Ernesto Ríos,43,M,Oeste,Alimentación,2024-02-21,7,34,SI,
1051,Cecilia Arce,36,F,Norte,Salud,2024-02-22,9,20,SI,Muy profesional
1052,Víctor Velázquez,49,M,Sur,Vivienda,2024-02-23,6,67,NO,Trámites lentos
1053,Karla Estrada,31,F,Este,Alimentación,2024-02-24,8,23,SI,
1054,Alfredo Molina,53,M,Centro,Salud,2024-02-25,7,39,SI,
1055,Leticia Ávila,40,F,Oeste,Educación,2024-02-26,9,16,SI,
1056,Mauricio Serrano,44,M,Norte,Empleo,2024-02-27,8,28,SI,
1057,Paola Cervantes,34,F,Sur,Alimentación,2024-02-28,9,15,SI,
1058,Enrique Bautista,58,M,Este,Salud,2024-02-29,7,46,SI,
1059,Julia Bermúdez,38,F,Centro,Vivienda,2024-03-01,6,71,NO,
1060,César Suárez,47,M,Oeste,Alimentación,2024-03-02,8,21,SI,
1061,Alma Fuentes,33,F,Norte,Salud,2024-03-03,9,19,SI,
1062,Ramiro Miranda,52,M,Sur,Educación,2024-03-04,7,35,SI,
1063,Blanca Espinoza,30,F,Este,Empleo,2024-03-05,10,10,SI,
1064,Omar Carrillo,46,M,Centro,Alimentación,2024-03-06,8,26,SI,
1065,Irene Cabrera,41,F,Oeste,Salud,2024-03-07,7,40,SI,
1066,Felipe Márquez,50,M,Norte,Vivienda,2024-03-08,6,59,NO,
1067,Susana Sandoval,35,F,Sur,Alimentación,2024-03-09,9,18,SI,
1068,Tomás Valencia,54,M,Este,Salud,2024-03-10,8,32,SI,
1069,Brenda Ponce,29,F,Centro,Educación,2024-03-11,9,14,SI,
1070,Julio Barrera,43,M,Oeste,Empleo,2024-03-12,7,43,SI,
1071,Alicia Villegas,37,F,Norte,Alimentación,2024-03-13,8,24,SI,
1072,Gerardo Zamora,56,M,Sur,Salud,2024-03-14,7,38,SI,
1073,Carolina León,32,F,Este,Vivienda,2024-03-15,6,64,NO,
1074,Andrés Domínguez,45,M,Centro,Alimentación,2024-03-16,9,17,SI,
1075,Rocío Figueroa,39,F,Oeste,Salud,2024-03-17,8,30,SI,
1076,Mario Ochoa,51,M,Norte,Educación,2024-03-18,7,36,SI,
1077,Angélica Cabrera,28,F,Sur,Empleo,2024-03-19,10,12,SI,
1078,Jaime Marín,48,M,Este,Alimentación,2024-03-20,8,22,SI,
1079,Yolanda Esquivel,42,F,Centro,Salud,2024-03-21,7,41,SI,
1080,Armando Alvarado,57,M,Oeste,Vivienda,2024-03-22,5,78,NO,
1081,Mercedes Téllez,34,F,Norte,Alimentación,2024-03-23,9,16,SI,
1082,Gonzalo Bustos,44,M,Sur,Salud,2024-03-24,8,27,SI,
1083,Fátima Rosales,31,F,Este,Educación,2024-03-25,9,20,SI,
1084,Salvador Maldonado,53,M,Centro,Empleo,2024-03-26,7,45,SI,
1085,Liliana Solís,38,F,Oeste,Alimentación,2024-03-27,8,25,SI,
1086,Agustín Ramírez,49,M,Norte,Salud,2024-03-28,7,34,SI,
1087,Natalia Mejía,36,F,Sur,Vivienda,2024-03-29,6,61,NO,
1088,Emilio Gallegos,52,M,Este,Alimentación,2024-03-30,9,19,SI,
1089,Berenice Contreras,30,F,Centro,Salud,2024-03-31,8,28,SI,
1090,Nicolás Arroyo,46,M,Oeste,Educación,2024-04-01,7,37,SI,
1091,Olga Aragón,40,F,Norte,Empleo,2024-04-02,9,11,SI,
1092,Donato Lara,55,M,Sur,Alimentación,2024-04-03,8,23,SI,
1093,Pilar Godínez,33,F,Este,Salud,2024-04-04,7,42,SI,
1094,Octavio Cano,50,M,Centro,Vivienda,2024-04-05,6,69,NO,
1095,Amparo Quiroz,35,F,Oeste,Alimentación,2024-04-06,9,15,SI,
1096,Samuel Hurtado,47,M,Norte,Salud,2024-04-07,8,29,SI,
1097,Esperanza Padilla,39,F,Sur,Educación,2024-04-08,7,33,SI,
1098,Gregorio Acosta,54,M,Este,Empleo,2024-04-09,8,26,SI,
1099,Dolores Tapia,32,F,Centro,Alimentación,2024-04-10,9,18,SI,
1100,Benjamín Cordero,45,M,Oeste,Salud,2024-04-11,7,39,SI,
